增率排名,公司名稱,同期成長率（％）,總營收2022Q1（萬）
2,安盛生,443.89,2302.3,iXensor (安盛生)
3,漢達,394.04,3330.8,Handa Pharma (漢達)
4,安特羅,282.25,1251.5,Enimmune Corp. (安特羅)
5,向榮生技,142.93,479.3,UnicoCell Biomed (向榮生技)
7,祥翊,104.95,7650.7,Sunny Pharmtech (祥翊)
8,彥臣,89.25,5821,NatureWise Biotech & Medicals (彥臣)
10,正瀚,61.79,59103.6,CH Biotech (正瀚)
12,雷虎生,44.64,8645.9,TTBIO (雷虎生)
13,金萬林,44.59,12203,Kim Forest (金萬林)
14,常廣,42.79,13679.8,LAGIS (常廣)
15,視陽,42.12,64645.8,Visco Vision (視陽)
16,友霖,32.93,11571.3,Orient Pharma (友霖)
17,利得,31.71,1372.8,Taiwan Leader Biotech (利得)
18,康聯生醫,28.67,34642,Healthconn Corp. (康聯生醫)
19,晉弘,28.43,11330.9,Medimaging Integrated Solution (晉弘)
