1,Johnson Health Tech (喬山),75.23,3.73
2,Great Tree (大樹),31.98,28.62
3,Lotus Pharma (美時),31.61,-4.9
4,Dayco International (岱宇),22.59,-40.99
5,Grape King Co. (葡萄王),20.53,4.08
6,Yungshin Pharma (永信),19.54,9.87
7,China Chemical & Pharmaceutical (中化),19.51,-2.89
8,TaiDoc Technology (泰博),17.93,33.14
9,Excelsior Medical (佳醫),17.08,4.98
10,TCI Co. (大江),16.58,-14.8
11,MedFirst Healthcare Services (杏一),16.08,7.63
12,Pegavision (晶碩),14.88,29.9
14,St.Shine Technology (精華),13.46,3.04
15,Standard Chem & Pharm (生達),12.37,12.38
16,Orient EuroPharma (友華),11.44,-5.88
17,Bora Pharmaceuticals (保瑞),11.19,-18.18
18,ShareHope Medicine (盛弘),10.39,15.6
19,TTY Biopharm (東洋),10.37,7.58
