3,OK Biotech (訊映),40.95,41712.9
4,PhytoHealth Corp (懷特),38.88,3496.1
5,Pegavision (晶碩),29.9,148838.5
6,Chunghwa Chemical Synthesis & Biotech (中化生),25.6,52953.2
7,Panion & BF Biotech (寶齡富錦),21.53,45456.6
8,ScinoPharm Taiwan (神隆),15.1,73793.9
9,Formosa Laboratories (台耀),13.4,83494.5
10,Standard Chem & Pharm (生達),12.38,123736.8
11,Maxigen Biotech (和康生),11.04,12326.2
12,Yungshin Pharma (永信),9.87,195442.2
14,Sinphar Group (杏輝),8.28,66933.3
15,Excelsior Medical (佳醫),4.98,170824.4
16,Grape King Co. (葡萄王),4.08,205258
17,Johnson Health Tech (喬山),3.73,752328.8
18,Bionime (華廣),2.55,47564.6
19,Apex Medical (雃博),2.5,59539.3
