1,Puriblood Medical (普瑞博生技),1245.24,4240.2
2,iXensor (安盛生),443.89,2302.3
3,Handa Pharma (漢達),394.04,3330.8
4,Enimmune Corp. (安特羅),282.25,1251.5
5,UnicoCell Biomed (向榮生技),142.93,479.3
7,Sunny Pharmtech (祥翊),104.95,7650.7
8,NatureWise Biotech & Medicals (彥臣),89.25,5821
10,CH Biotech (正瀚),61.79,59103.6
12,TTBIO (雷虎生),44.64,8645.9
13,Kim Forest (金萬林),44.59,12203
14,LAGIS (常廣),42.79,13679.8
15,Visco Vision (視陽),42.12,64645.8
16,Orient Pharma (友霖),32.93,11571.3
17,Taiwan Leader Biotech (利得),31.71,1372.8
18,Healthconn Corp. (康聯生醫),28.67,34642
19,Medimaging Integrated Solution (晉弘),28.43,11330.9
