台塑生醫科技股份有限公司,110.01.29,FORTE療肺草複方養妍凍15g*10(盒),食品廣告不實、誇張或易生誤解,處分
台塑生醫科技股份有限公司,109.11.06,【台塑生醫】成人金盞花葉黃素複方膠囊60錠/瓶(3瓶/組),食品廣告不實、誇張或易生誤解,處分
台塑生醫科技股份有限公司,108.07.25,《醫之方》參杞茶(30包),廣告內容誇大不實,輔導結案/輔導文號：1083074397
台塑生醫科技股份有限公司,108.07.23,Ceramide 舒緩活氧特潤精華油,廣告內容誇大不實,處分
台塑生醫科技股份有限公司,108.08.19,FORTE美纖萃晶凍15g*10包(盒),食品廣告不實、誇張或易生誤解,處分
台塑生醫科技股份有限公司,107.06.20,舒敏護膚1+2萬用霜,廣告內容宣稱誇大療效,處分
台塑生醫科技股份有限公司,107.05.14,南瓜菁萃複方膜衣錠(60粒/盒) 單盒 台塑生醫 Dr's Formula,食品廣告宣稱醫療效能,處分
葡萄王生技股份有限公司,110.12.20,【4國專利葉黃素配方】優適金盞花葉黃素90粒,廣告違規,處分
葡萄王生技股份有限公司,110.08.13,天心青春推薦！【超越奇蹟】鹿胎盤馥活膠囊30粒*2瓶,廣告內容宣稱誇大療效,處分
葡萄王生技股份有限公司,110.08.24,【美國專利黃金升級版】葡萄王醣安欣2.0 30粒*1瓶,無違規,未違規結案/結案文號：桃衛食管字第1100076691號
葡萄王生技股份有限公司,110.08.18,防護力提升！【全新升級】益菌王 益生菌膠囊60粒,食品廣告不實、誇張或易生誤解,處分
葡萄王生技股份有限公司,110.05.11,薑黃代謝專家-全方位代謝啟動,無違規,未違規結案/結案文號：桃衛食管字第1100039434號
葡萄王生技股份有限公司,110.01.21,葡萄王認證樟芝王菌絲體膠囊,廣告內容宣稱誇大療效,輔導結案/輔導文號：府衛食管字第1100012317號
葡萄王生技股份有限公司,109.04.24,葡萄王纖益薑黃,廣告內容宣稱誇大療效,處分
葡萄王生技股份有限公司,109.04.07,高濃度玻尿酸 ,廣告內容宣稱誇大療效,相關案件已處分 / 處分文號：府衛食管字第1090075740號
葡萄王生技股份有限公司,108.03.07,【葡萄王】易得孅益生菌膠囊30粒*3瓶 共90粒(排除累積 好順暢 好代謝),無違規,輔導結案/輔導文號：府衛食管字第1080049299號
葡萄王生技股份有限公司,108.07.26,GKM3益生菌,食品廣告不實、誇張或易生誤解,處分
葡萄王生技股份有限公司,107.06.08,葡萄王舒敏優靈芝菌絲體膠囊,健康食品廣告虛偽不實、誇張,處分
